ticker,name,sector,board
AADI,Adaro Andalan Indonesia Tbk.,Energi,Main
AALI,Astra Agro Lestari Tbk.,Barang Konsumen Primer,Main
ABBA,Mahaka Media Tbk.,Barang Konsumen Non-Primer,Watchlist
ABDA,Asuransi Bina Dana Arta Tbk.,Keuangan,Development
ABMM,ABM Investama Tbk.,Energi,Main
ACES,Aspirasi Hidup Indonesia Tbk.,Barang Konsumen Non-Primer,Main
ACRO,Samcro Hyosung Adilestari Tbk.,Barang Konsumen Non-Primer,Development
ACST,Acset Indonusa Tbk.,Infrastruktur,Watchlist
ADCP,Adhi Commuter Properti Tbk.,Properti & Real Estat,Development
ADES,Akasha Wira International Tbk.,Barang Konsumen Primer,Main
ADHI,Adhi Karya (Persero) Tbk.,Infrastruktur,Main
ADMF,Adira Dinamika Multi Finance T,Keuangan,Development
ADMG,Polychem Indonesia Tbk,Barang Baku,Development
ADMR,Alamtri Minerals Indonesia Tbk,Energi,Main
ADRO,Alamtri Resources Indonesia Tb,Energi,Main
AEGS,Anugerah Spareparts Sejahtera,Barang Konsumen Non-Primer,Acceleration
AGAR,Asia Sejahtera Mina Tbk.,Barang Konsumen Primer,Development
AGII,Samator Indo Gas Tbk.,Barang Baku,Development
AGRO,Bank Raya Indonesia Tbk.,Keuangan,Main
AGRS,Bank IBK Indonesia Tbk.,Keuangan,Development
AHAP,Asuransi Harta Aman Pratama Tb,Keuangan,Development
AIMS,Artha Mahiya Investama Tbk.,Energi,Development
AISA,FKS Food Sejahtera Tbk.,Barang Konsumen Primer,Main
AKKU,Anugerah Kagum Karya Utama Tbk,Barang Konsumen Non-Primer,Watchlist
AKPI,Argha Karya Prima Industry Tbk,Barang Baku,Development
AKRA,AKR Corporindo Tbk.,Energi,Main
AKSI,Mineral Sumberdaya Mandiri Tbk,Transportasi & Logistik,Development
ALDO,Alkindo Naratama Tbk.,Barang Baku,Main
ALII,Ancara Logistics Indonesia Tbk,Energi,Main
ALKA,Alakasa Industrindo Tbk,Barang Baku,Development
ALMI,Alumindo Light Metal Industry,Barang Baku,Watchlist
ALTO,Tri Banyan Tirta Tbk.,Barang Konsumen Primer,Watchlist
AMAG,Asuransi Multi Artha Guna Tbk.,Keuangan,Main
AMAN,Makmur Berkah Amanda Tbk.,Properti & Real Estat,Development
AMAR,Bank Amar Indonesia Tbk.,Keuangan,Main
AMFG,Asahimas Flat Glass Tbk.,Perindustrian,Development
AMIN,Ateliers Mecaniques D Indonesi,Perindustrian,Development
AMMN,Amman Mineral Internasional Tb,Barang Baku,Main
AMMS,Agung Menjangan Mas Tbk.,Barang Konsumen Primer,Acceleration
AMOR,Ashmore Asset Management Indon,Keuangan,Development
AMRT,Sumber Alfaria Trijaya Tbk.,Barang Konsumen Primer,Main
ANDI,Andira Agro Tbk.,Barang Konsumen Primer,Watchlist
ANJT,Austindo Nusantara Jaya Tbk.,Barang Konsumen Primer,Development
ANTM,ANTAM (Persero) Tbk.,Barang Baku,Main
APEX,Apexindo Pratama Duta Tbk.,Energi,Development
APIC,Pacific Strategic Financial Tb,Keuangan,Development
APII,Arita Prima Indonesia Tbk.,Perindustrian,Development
APLI,Asiaplast Industries Tbk.,Barang Baku,Development
APLN,Agung Podomoro Land Tbk.,Properti & Real Estat,Main
ARCI,Archi Indonesia Tbk.,Barang Baku,Development
AREA,Dunia Virtual Online Tbk.,Teknologi,Development
ARGO,Argo Pantes Tbk,Barang Konsumen Non-Primer,Development
ARII,Atlas Resources Tbk.,Energi,Development
ARKA,Arkha Jayanti Persada Tbk.,Perindustrian,Watchlist
ARKO,Arkora Hydro Tbk.,Infrastruktur,Development
ARMY,Armidian Karyatama Tbk.,Properti & Real Estat,Watchlist
ARNA,Arwana Citramulia Tbk.,Perindustrian,Main
ARTA,Arthavest Tbk,Barang Konsumen Non-Primer,Development
ARTI,Ratu Prabu Energi Tbk,Energi,Watchlist
ARTO,Bank Jago Tbk.,Keuangan,Main
ASBI,Asuransi Bintang Tbk.,Keuangan,Development
ASDM,Asuransi Dayin Mitra Tbk.,Keuangan,Development
ASGR,Astra Graphia Tbk.,Perindustrian,Main
ASHA,Cilacap Samudera Fishing Indus,Barang Konsumen Primer,Development
ASII,Astra International Tbk.,Perindustrian,Main
ASJT,Asuransi Jasa Tania Tbk.,Keuangan,Development
ASLC,Autopedia Sukses Lestari Tbk.,Barang Konsumen Non-Primer,Development
ASLI,Asri Karya Lestari Tbk.,Infrastruktur,Development
ASMI,Asuransi Maximus Graha Persada,Keuangan,Watchlist
ASPI,Andalan Sakti Primaindo Tbk.,Properti & Real Estat,Development
ASPR,Asia Pramulia Tbk.,Barang Baku,Development
ASRI,Alam Sutera Realty Tbk.,Properti & Real Estat,Main
ASRM,Asuransi Ramayana Tbk.,Keuangan,Development
ASSA,Adi Sarana Armada Tbk.,Transportasi & Logistik,Main
ATAP,Trimitra Prawara Goldland Tbk.,Properti & Real Estat,Development
